country,Squad_Avg_Age,Club_Diversity_Index,Squad_Avg_Age_Bucket,Position_Share_DEF,Position_Share_FWD,Position_Share_GK,Position_Share_MID,Continent
Algeria,26.46153846153846,0.9230769230769231,Prime,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,Africa
Argentina,28.692307692307693,0.7307692307692307,Experienced,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.3076923076923077,South America
Australia,26.884615384615383,0.8461538461538461,Prime,0.38461538461538464,0.2692307692307692,0.11538461538461539,0.23076923076923078,Oceania
Austria,28.192307692307693,0.8461538461538461,Experienced,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.4230769230769231,Europe
Belgium,27.115384615384617,0.6923076923076923,Prime,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,Europe
Bosnia and Herzegovina,25.96153846153846,0.9230769230769231,Prime,0.3076923076923077,0.2692307692307692,0.11538461538461539,0.3076923076923077,Europe
Brazil,28.807692307692307,0.7692307692307693,Experienced,0.3076923076923077,0.34615384615384615,0.11538461538461539,0.23076923076923078,South America
Canada,26.46153846153846,0.8461538461538461,Prime,0.3076923076923077,0.2692307692307692,0.11538461538461539,0.3076923076923077,North America
Cape Verde,29.23076923076923,1.0,Experienced,0.3076923076923077,0.2692307692307692,0.11538461538461539,0.3076923076923077,Africa
Colombia,29.576923076923077,0.9230769230769231,Experienced,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,South America
Croatia,27.884615384615383,0.9230769230769231,Prime,0.3076923076923077,0.23076923076923078,0.11538461538461539,0.34615384615384615,Europe
Curaçao,27.53846153846154,0.8461538461538461,Prime,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.2692307692307692,North America
Czechia,27.23076923076923,0.4230769230769231,Prime,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.3076923076923077,Europe
DR Congo,28.5,0.9230769230769231,Experienced,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.2692307692307692,Africa
Ecuador,25.576923076923077,0.8846153846153846,Prime,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.2692307692307692,South America
Egypt,28.692307692307693,0.5384615384615384,Experienced,0.3076923076923077,0.2692307692307692,0.15384615384615385,0.2692307692307692,Africa
England,26.73076923076923,0.6153846153846154,Prime,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,Europe
France,26.576923076923077,0.6923076923076923,Prime,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,Europe
Germany,27.615384615384617,0.5,Prime,0.3076923076923077,0.23076923076923078,0.11538461538461539,0.34615384615384615,Europe
Ghana,26.423076923076923,0.8846153846153846,Prime,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.23076923076923078,Africa
Haiti,27.0,0.9615384615384616,Prime,0.34615384615384615,0.34615384615384615,0.11538461538461539,0.19230769230769232,North America
Iran,29.807692307692307,0.5384615384615384,Experienced,0.34615384615384615,0.34615384615384615,0.11538461538461539,0.19230769230769232,Asia
Iraq,26.423076923076923,0.7692307692307693,Prime,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.23076923076923078,Asia
Ivory Coast,25.346153846153847,0.9615384615384616,Prime,0.3076923076923077,0.34615384615384615,0.11538461538461539,0.23076923076923078,Africa
Japan,26.923076923076923,0.8846153846153846,Prime,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.23076923076923078,Asia
Jordan,28.076923076923077,0.5384615384615384,Experienced,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.3076923076923077,Asia
Mexico,27.5,0.8076923076923077,Prime,0.23076923076923078,0.3076923076923077,0.11538461538461539,0.34615384615384615,North America
Morocco,26.115384615384617,0.9230769230769231,Prime,0.34615384615384615,0.19230769230769232,0.11538461538461539,0.34615384615384615,Africa
Netherlands,27.307692307692307,0.7307692307692307,Prime,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.2692307692307692,Europe
New Zealand,27.76923076923077,0.7307692307692307,Prime,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.3076923076923077,Oceania
Norway,26.346153846153847,0.8461538461538461,Prime,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,Europe
Panama,30.0,0.8846153846153846,Experienced,0.4230769230769231,0.19230769230769232,0.11538461538461539,0.2692307692307692,North America
Paraguay,28.5,0.8461538461538461,Experienced,0.3076923076923077,0.23076923076923078,0.11538461538461539,0.34615384615384615,South America
Portugal,27.53846153846154,0.6538461538461539,Prime,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.2692307692307692,Europe
Qatar,28.923076923076923,0.3076923076923077,Experienced,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.23076923076923078,Asia
Republic of Korea,27.46153846153846,0.8461538461538461,Prime,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.2692307692307692,Asia
Saudi Arabia,27.96153846153846,0.34615384615384615,Prime,0.4230769230769231,0.2692307692307692,0.11538461538461539,0.19230769230769232,Asia
Scotland,28.73076923076923,0.8461538461538461,Experienced,0.38461538461538464,0.2692307692307692,0.11538461538461539,0.23076923076923078,Europe
Senegal,26.615384615384617,0.8461538461538461,Prime,0.3076923076923077,0.2692307692307692,0.11538461538461539,0.3076923076923077,Africa
South Africa,26.346153846153847,0.46153846153846156,Prime,0.38461538461538464,0.3076923076923077,0.11538461538461539,0.19230769230769232,Africa
Spain,26.192307692307693,0.5,Prime,0.3076923076923077,0.3076923076923077,0.11538461538461539,0.2692307692307692,Europe
Sweden,27.0,1.0,Prime,0.4230769230769231,0.19230769230769232,0.11538461538461539,0.2692307692307692,Europe
Switzerland,27.807692307692307,0.9230769230769231,Prime,0.3076923076923077,0.23076923076923078,0.11538461538461539,0.34615384615384615,Europe
Tunisia,26.153846153846153,0.9230769230769231,Prime,0.38461538461538464,0.19230769230769232,0.11538461538461539,0.3076923076923077,Africa
Turkey,27.23076923076923,0.6153846153846154,Prime,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.23076923076923078,Europe
United States,26.423076923076923,0.9230769230769231,Prime,0.38461538461538464,0.2692307692307692,0.11538461538461539,0.23076923076923078,North America
Uruguay,28.192307692307693,0.8461538461538461,Experienced,0.2692307692307692,0.23076923076923078,0.11538461538461539,0.38461538461538464,South America
Uzbekistan,27.692307692307693,0.6153846153846154,Prime,0.38461538461538464,0.15384615384615385,0.11538461538461539,0.34615384615384615,Asia
